,n_nodes,A0_lrev,D0_norm,AD0_norm
0,564.0,0.2603580517741042,0.16933171141466538,0.006916369612509215
1,633.0,0.15004965509143572,0.17971977362287173,0.004253733087427843
2,834.0,0.10013099373414644,0.18297345223594033,0.003797721410879141
3,1163.0,0.07758169405697359,0.18318254296938863,0.003092531272160576
4,1629.0,0.06228970074998079,0.1843588884316561,0.002759295216775374
5,2185.0,0.052946881893320724,0.1838993709716985,0.0020642949863937245
6,2936.0,0.045405745302029316,0.18665630485674803,0.0018694801101986928
7,3830.0,0.04011634972099349,0.18218460016099414,0.001651740277561406
8,4819.0,0.03551958294878715,0.18610530726256927,0.0014700294617763137
9,5917.0,0.03293493981787065,0.18624951445896792,0.0014483598984506925
10,7092.0,0.030122105732328264,0.18659438733067832,0.0014715826909361958
11,8410.0,0.0277372364254192,0.18818766923730038,0.0011663428638326037
12,9845.0,0.02609186617707809,0.18675055480557518,0.0012416316362967948
13,11355.0,0.024272309840648633,0.18680873717665392,0.001150385401756693
14,13068.0,0.022955401544317668,0.18195461307168737,0.0011478286200242327
15,14807.0,0.02203590982803532,0.17031062341069175,0.0011339882623877784
16,16730.0,0.020485381457815012,0.18612573825516243,0.0011498646729132984
17,18640.0,0.019559180382388033,0.1872275288557479,0.001169334310846327
18,20593.0,0.01830387749691628,0.18712462966076063,0.0010350734094122804
19,22902.0,0.018090981285452806,0.1870317188585551,0.0011225722905804207
20,25272.0,0.017273084110930252,0.18815469027075854,0.0010820424801610455
21,27889.0,0.01717051718542159,0.18050179238677277,0.0010902944886096676
22,30283.0,0.017025571176041858,0.18653742524212827,0.0010010525375520947
23,32927.0,0.01609517914438146,0.17967599611646318,0.001055927578058499
24,35824.0,0.016468365960374272,0.1920114870158927,0.0010254455962756064
25,38643.0,0.015331379956323036,0.18641336757942842,0.0010135104402779166
26,41515.0,0.015288905719470967,0.1872711415863058,0.0010289426748848853
27,44592.0,0.015231796967135294,0.18727909936631015,0.000960373143092605
28,47992.0,0.015166310947575146,0.18736252857402896,0.0009992507796347454
29,51176.0,0.015165591676689936,0.1872925064850318,0.0009598576421418924
30,54804.0,0.01539720243156516,0.18738629465652923,0.001069767237059432
31,58413.0,0.013869909662925298,0.17905612693895198,0.0009829280928753108
32,61781.0,0.01518466476724838,0.18739643748410978,0.0010556144887851082
33,65562.0,0.014520269685603283,0.18741070034991542,0.0009948284300523302
34,69347.0,0.014351662572119329,0.17208530226144833,0.0009961311509259576
35,73581.0,0.014510277956155879,0.18100783887516297,0.000962688530044692
36,77771.0,0.014777541208506946,0.1874181921245891,0.0009549670915868379
37,81950.0,0.014458371692434394,0.1875367004766615,0.0009299360746516918
38,86259.0,0.01387628691909265,0.18747837862257707,0.0009934258473426744
39,90533.0,0.013605530332739313,0.1874229101411349,0.0009229819897956299
40,95355.0,0.014211036628870433,0.1874909358127975,0.0009461261256559538
41,99851.0,0.013978987241167896,0.18758191369661245,0.0009860220476497691
